source_year,source_row_count,distinct_open_id_count,source_survey_year_value_count,source_survey_year_mismatch_row_count,graduation_month_min,graduation_month_max,graduation_month_distinct_count,graduation_month_blank_count,graduation_month_invalid_count,inferred_cohort_year,inferred_cohort_row_count,inferred_cohort_share,primary_august_february_row_count,primary_august_february_share,source_minus_cohort_years,time_axis_status,observation_reference_date,observation_reference_date_basis,cohort_source_year_count,cohort_source_years,same_cohort_previous_source_year,same_cohort_month_distribution_equal_to_previous,same_cohort_shared_open_id_count,same_cohort_exact_school_aggregate_match_count,same_cohort_exact_school_aggregate_match_share,official_same_label_target_months,official_same_label_target_row_count,official_same_label_status,cohort_use_status,cohort_analysis_eligible,severity,recommended_action
2010,539071,513,1,0,200903,201002,12,0,0,2010,538822,0.999538094,528544,0.98047196,0,source_year_matches_inferred_cohort,2010-06-01,june_1,1,2010,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,low,use_source_year_as_cohort_year
2011,559000,543,1,0,201004,201103,12,0,0,2011,558622,0.999323792,552249,0.987923077,0,source_year_matches_inferred_cohort,2011-06-01,june_1,1,2011,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,low,use_source_year_as_cohort_year
2012,566374,543,1,0,201103,201203,13,0,0,2012,566352,0.999961156,560442,0.989526355,0,source_year_matches_inferred_cohort,2012-06-01,june_1,1,2012,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,low,use_source_year_as_cohort_year
2013,555141,537,1,0,201203,201302,10,0,0,2013,555123,0.999967576,552920,0.995999215,0,source_year_matches_inferred_cohort,2013-06-01,june_1,1,2013,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,low,use_source_year_as_cohort_year
2014,557236,552,1,0,201303,201403,13,0,0,2014,557216,0.999964109,556517,0.998709703,0,source_year_matches_inferred_cohort,2014-06-01,june_1,2,2014|2015,,,0,0,0.0,,0,not_checked,exclude_transition_june_wave,false,medium,preserve_as_early_wave_but_exclude_from_standardized_cohort_view
2015,557234,552,1,0,201303,201403,13,0,0,2014,557214,0.999964108,556515,0.998709698,1,source_year_one_year_after_inferred_cohort,2014-12-31,december_31,2,2014|2015,2014,false,552,20,0.036231884,,0,not_checked,eligible_transition_december_wave,true,low,select_december_31_wave_and_rekey_to_2014_cohort
2016,576023,554,1,0,201406,201502,8,0,0,2015,575979,0.999923614,574695,0.997694537,1,source_year_one_year_after_inferred_cohort,2015-12-31,december_31,1,2016,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,medium,rekey_to_inferred_cohort_year
2017,580695,557,1,0,201504,201602,9,0,0,2016,580665,0.999948338,578189,0.995684482,1,source_year_one_year_after_inferred_cohort,2016-12-31,december_31,1,2017,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,medium,rekey_to_inferred_cohort_year
2018,574009,552,1,0,201604,201702,8,0,0,2017,573981,0.99995122,572881,0.998034874,1,source_year_one_year_after_inferred_cohort,2017-12-31,december_31,1,2018,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,medium,rekey_to_inferred_cohort_year
2019,555808,544,1,0,201704,201802,9,0,0,2018,555795,0.999976611,554556,0.997747424,1,source_year_one_year_after_inferred_cohort,2018-12-31,december_31,1,2019,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,medium,rekey_to_inferred_cohort_year
2020,550354,537,1,0,201804,201902,7,0,0,2019,550136,0.999603891,545446,0.991082104,1,source_year_one_year_after_inferred_cohort,2019-12-31,december_31,1,2020,,,0,0,0.0,,0,not_checked,eligible_unique_cohort,true,medium,rekey_to_inferred_cohort_year
2021,553521,537,1,0,201903,202003,13,0,0,2020,553346,0.999683842,548971,0.991779896,1,source_year_one_year_after_inferred_cohort,2020-12-31,december_31,2,2021|2022,,,0,0,0.0,202008|202102,0,conflict_no_official_target_months,eligible_first_of_exact_repeat,true,medium,retain_first_source_and_rekey_to_inferred_cohort_year
2022,553521,537,1,0,201903,202003,13,0,0,2020,553346,0.999683842,548971,0.991779896,2,source_year_other_cohort_offset,2020-12-31,december_31,2,2021|2022,2021,true,537,537,1.0,202108|202202,0,conflict_no_official_target_months,exclude_exact_repeat,false,high,exclude_from_cohort_and_time_series_analysis
